91 153
-5.000000000000000e-01 0.000000000000000e+00 1.000000000000000e-02
-4.919354838709679e-01 0.000000000000000e+00 1.000000000000000e-02
-4.838709677419355e-01 0.000000000000000e+00 1.000000000000000e-02
-4.758064516129033e-01 0.000000000000000e+00 1.000000000000000e-02
-4.677419354838710e-01 0.000000000000000e+00 1.000000000000000e-02
-4.596774193548387e-01 0.000000000000000e+00 1.000000000000000e-02
-4.516129032258065e-01 0.000000000000000e+00 1.000000000000000e-02
-4.435483870967741e-01 0.000000000000000e+00 1.000000000000000e-02
-4.354838709677419e-01 0.000000000000000e+00 1.000000000000000e-02
-4.274193548387097e-01 0.000000000000000e+00 1.000000000000000e-02
-4.193548387096775e-01 0.000000000000000e+00 1.000000000000000e-02
-4.112903225806450e-01 0.000000000000000e+00 1.000000000000000e-02
-4.032258064516130e-01 0.000000000000000e+00 1.000000000000000e-02
-3.951612903225807e-01 0.000000000000000e+00 1.000000000000000e-02
-3.870967741935485e-01 0.000000000000000e+00 1.000000000000000e-02
-3.790322580645162e-01 0.000000000000000e+00 1.000000000000000e-02
-3.709677419354840e-01 0.000000000000000e+00 1.000000000000000e-02
-3.629032258064517e-01 0.000000000000000e+00 1.000000000000000e-02
-3.548387096774195e-01 0.000000000000000e+00 1.000000000000000e-02
-3.467741935483872e-01 0.000000000000000e+00 1.000000000000000e-02
-3.387096774193550e-01 0.000000000000000e+00 1.000000000000000e-02
-3.306451612903227e-01 0.000000000000000e+00 1.000000000000000e-02
-3.225806451612905e-01 0.000000000000000e+00 1.000000000000000e-02
-3.145161290322582e-01 0.000000000000000e+00 1.000000000000000e-02
-3.064516129032260e-01 0.000000000000000e+00 1.000000000000000e-02
-2.983870967741936e-01 0.000000000000000e+00 1.000000000000000e-02
-2.903225806451614e-01 0.000000000000000e+00 1.000000000000000e-02
-2.822580645161291e-01 0.000000000000000e+00 1.000000000000000e-02
-2.741935483870970e-01 0.000000000000000e+00 1.000000000000000e-02
-2.661290322580647e-01 0.000000000000000e+00 1.000000000000000e-02
-2.580645161290325e-01 0.000000000000000e+00 1.000000000000000e-02
-2.500000000000002e-01 0.000000000000000e+00 1.000000000000000e-02
-2.419354838709679e-01 0.000000000000000e+00 1.000000000000000e-02
-2.338709677419357e-01 0.000000000000000e+00 1.000000000000000e-02
-2.258064516129034e-01 0.000000000000000e+00 1.000000000000000e-02
-2.177419354838711e-01 0.000000000000000e+00 1.000000000000000e-02
-2.096774193548389e-01 0.000000000000000e+00 1.000000000000000e-02
-2.016129032258067e-01 0.000000000000000e+00 1.000000000000000e-02
-1.935483870967744e-01 0.000000000000000e+00 1.000000000000000e-02
-1.854838709677422e-01 0.000000000000000e+00 1.000000000000000e-02
-1.774193548387099e-01 0.000000000000000e+00 1.000000000000000e-02
-1.693548387096776e-01 0.000000000000000e+00 1.000000000000000e-02
-1.612903225806454e-01 0.000000000000000e+00 1.000000000000000e-02
-1.532258064516131e-01 0.000000000000000e+00 1.000000000000000e-02
-1.451612903225809e-01 0.000000000000000e+00 1.000000000000000e-02
-1.370967741935486e-01 0.000000000000000e+00 1.000000000000000e-02
-1.290322580645164e-01 0.000000000000000e+00 1.000000000000000e-02
-1.209677419354841e-01 0.000000000000000e+00 1.000000000000000e-02
-1.129032258064519e-01 0.000000000000000e+00 1.000000000000000e-02
-1.048387096774196e-01 0.000000000000000e+00 1.000000000000000e-02
-9.677419354838734e-02 0.000000000000000e+00 1.000000000000000e-02
-8.870967741935509e-02 0.000000000000000e+00 1.000000000000000e-02
-8.064516129032284e-02 0.000000000000000e+00 1.000000000000000e-02
-7.258064516129059e-02 0.000000000000000e+00 1.000000000000000e-02
-6.451612903225834e-02 0.000000000000000e+00 1.000000000000000e-02
-5.645161290322610e-02 0.000000000000000e+00 1.000000000000000e-02
-4.838709677419384e-02 0.000000000000000e+00 1.000000000000000e-02
-4.032258064516159e-02 0.000000000000000e+00 1.000000000000000e-02
-3.225806451612934e-02 0.000000000000000e+00 1.000000000000000e-02
-2.419354838709709e-02 0.000000000000000e+00 1.000000000000000e-02
-1.612903225806484e-02 0.000000000000000e+00 1.000000000000000e-02
-8.064516129032584e-03 0.000000000000000e+00 1.000000000000000e-02
0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-02
7.727501635821142e-03 2.070197688236485e-03 1.000000000000000e-02
1.545723424725098e-02 4.140993054838539e-03 1.000000000000000e-02
2.319142945399366e-02 6.212983950724903e-03 1.000000000000000e-02
3.093232016413161e-02 8.286768571970860e-03 1.000000000000000e-02
3.868214121877857e-02 1.036294563251078e-02 1.000000000000000e-02
4.644313003729162e-02 1.244211453699043e-02 1.000000000000000e-02
5.421752726322770e-02 1.452487555381870e-02 1.000000000000000e-02
6.200757741123120e-02 1.661182998846884e-02 1.000000000000000e-02
6.981552951503690e-02 1.870358035707839e-02 1.000000000000000e-02
7.764363777678174e-02 2.080073056039983e-02 1.000000000000000e-02
8.549416221780404e-02 2.290388605814970e-02 1.000000000000000e-02
9.336936933112705e-02 2.501365404380894e-02 1.000000000000000e-02
1.012715327358076e-01 2.713064361992285e-02 1.000000000000000e-02
1.092029338333438e-01 2.925546597395281e-02 1.000000000000000e-02
1.171658624663301e-01 3.138873455472984e-02 1.000000000000000e-02
1.251626175795466e-01 3.353106524956054e-02 1.000000000000000e-02
1.331955078836798e-01 3.568307656203780e-02 1.000000000000000e-02
1.412668525218601e-01 3.784538979060632e-02 1.000000000000000e-02
1.493789817392126e-01 4.001862920793506e-02 1.000000000000000e-02
1.575342375556124e-01 4.220342224114855e-02 1.000000000000000e-02
1.657349744418401e-01 4.440039965296898e-02 1.000000000000000e-02
1.739835599993314e-01 4.661019572382086e-02 1.000000000000000e-02
1.822823756437169e-01 4.883344843495175e-02 1.000000000000000e-02
1.906338172923519e-01 5.107079965262107e-02 1.000000000000000e-02
1.990402960560316e-01 5.332289531341086e-02 1.000000000000000e-02
2.075042389350930e-01 5.559038561071142e-02 1.000000000000000e-02
